host_id,ip_address,mac_address,manufacturer
1,10.238.97.8,001a.a0aa.cc75,Dell Inc.
2,10.238.97.16,f4d1.08ff.1853,Intel Corporate
3,10.238.97.17,f4d4.88cd.6742,Apple Inc.
4,10.44.168.5,001a.a0aa.cd75,Xerox Corporation
5,10.44.168.122,f4d1.08ff.1753,Cisco Systems Inc
6,10.44.168.123,f4d4.88cd.6722,Google Inc.
7,10.44.168.124,f49f.5472.4739,Dell Inc.
8,10.44.168.125,f4e3.fbad.cf34,Canon Inc.
9,10.44.168.126,001a.11a8.70e0,Samsung Electronics Co. Ltd
10,10.44.168.245,f481.390c.b7e9,Intel Corporate
11,10.44.168.246,0001.6434.a0ec,Apple Inc.
12,10.44.168.247,0000.0878.d81d,Huawei Technologies Co. Ltd
