host_id,ip_address,mac_address,manufacturer
1,10.238.97.8,001a.a0aa.cc75,Dell Inc.
2,10.238.97.16,f4d1.08ff.1853,Intel Corporate
3,10.238.97.17,f4d4.88cd.6742,Apple Inc.
4,10.79.89.5,001a.a0aa.cd75,Xerox Corporation        
5,10.79.89.166,f4d1.08ff.1753,Cisco Systems Inc        
6,10.79.89.167,f4d4.88cd.6722,Google Inc.        
7,10.79.89.168,001a.11a8.70e0,Dell Inc.        
8, 10.79.89.169,f4e3.fbad.cf34,Canon Inc.        
9,10.79.89.170,f49f.5472.4739,Samsung Electronics Co. Ltd        
10,10.79.89.245,f481.390c.b7e9,Intel Corporate        
11,10.79.89.246,0001.6434.a0ec,Apple Inc.        
12,10.79.89.247,0000.0878.d81d,Huawei Technologies Co. Ltd        
